CPM	Cost Per Click	Cost Per Link Click	Relevance Score	industry	CTR	Daily Budget
1550.892332	87.86666667	115.4452555	6	Automotive	1.77	9948.64
1537.283382	106.3631841	154.9202899	4	Automotive	1.45	6632.46
1432.437675	38.85742922	76.50715343	7	Automotive	3.69	17261.66
1619.064515	40.33853354	77.571	6	Automotive	4.01	17261.66
1083.777784	40.5138309	63.75728953	6	Automotive	2.68	17413.85
2074.798312	52.05630027	92.46190476	8	Automotive	3.99	4315.6
2004.470479	55.72714286	97.5225	7	Automotive	3.6	4315.49
1320.219174	64.33167496	77.2749004	7	Automotive	2.05	4353.41
1334.77959	61.03968254	75.10742188	7	Automotive	2.19	4353.41
977.4107451	37.87734242	58.93146535	6	Automotive	2.58	17413.96
1419.406558	70.86471251	93.67660209	6	Automotive	2	16581.1
1750.29964	133.2623574	181.5958549	4	Automotive	1.31	9948.56
1718.235634	103.4826087	140.0058824	5	Automotive	1.66	6632.46
878.0956689	35.88362974	56.05884927	6	Automotive	2.45	66102.74
1572.237743	70.34862385	95.55140187	7	Automotive	2.23	16581.1
839.8668828	70.30285714	110.7131609	3	Automotive	1.19	26441.1
1038.031944	32.88244333	51.00893921	7	Automotive	3.16	66102.74
1122.521151	51.54367934	84.57335582	4	Automotive	2.18	39661.65
1072.802082	60.21752862	96.29482323	4	Automotive	1.78	39661.65
1219.609454	69.7512094	107.1443737	3	Automotive	1.75	26441.1
1342.987482	47.5720133	260.4467787	4	Automotive	2.82	28614.15
1369.378554	46.23951515	263.6930876	4	Automotive	2.96	29095.63
1206.315511	48.04753697	289.7308534	4	Automotive	2.51	27453.72
1199.176455	45.84447606	231.3062201	4	Automotive	2.62	8658.45
891.0718587	49.32577778	250.5259594	3	Automotive	1.81	9943.79
818.102698	66.96569921	118.7368421	4	Automotive	1.22	9131.69
1895.837347	97.43564356	584.1689498	4	Automotive	1.95	6418.02
1954.958359	93.52277657	468.6304348	4	Automotive	2.09	6480.6
870.4929843	62.07706422	107.2896406	4	Automotive	1.4	9097.61
964.1538622	51.54236428	261.8298969	4	Automotive	1.87	9097.61
721.8952229	71.60967742	136.5252153	4	Automotive	1.01	9943.79
834.2543929	66.63963964	119.5635776	4	Automotive	1.25	9906.83
1499.082633	125.6090776	557.0844156	3	Automotive	1.19	7844.15
1486.076479	122.0988539	583.7328767	3	Automotive	1.22	7732.21
1119.732512	95.28129032	214.6598837	4	Automotive	1.18	6612.81
1642.04133	78.04370328	282.7458333	5	Automotive	2.1	7181.92
955.1343499	61.32677665	99.94932782	4	Automotive	1.56	8658.45
1058.356941	50.72375979	78.20933977	5	Automotive	2.09	8700.9
1709.323301	79.32239819	318.2496218	5	Automotive	2.15	7351.32
1383.350779	71.16764885	166.4524715	6	Automotive	1.94	12271.79
997.0861659	49.93420174	209.8287719	4	Automotive	2	51552.76
1070.990615	45.50939089	148.6851318	5	Automotive	2.35	51626.9
668.9730574	45.72844523	88.03503401	6	Automotive	1.46	14379.06
848.0360677	70.87185104	100.6314152	7	Automotive	1.2	3619.92
775.4886804	83.16966581	107.1291391	6	Automotive	0.93	3594.78
718.2153947	41.45163357	86.59217129	6	Automotive	1.73	14379.11
1189.406432	59.05253031	107.9859254	8	Automotive	2.01	28133
925.5414444	35.30679198	90.03809226	6	Automotive	2.62	112531.96
872.9397724	43.74059181	147.9218968	6	Automotive	2	341427.65
953.989056	39.70635641	126.1496574	6	Automotive	2.4	341427.65
1125.073377	137.5550239	228.1666667	4	Automotive	0.82	51722.13
1264.817636	118.8055556	206.3464912	6	Automotive	1.06	51722.13
808.6239007	13.66025509	32.07014525	9	Automotive	5.92	42353
699.5783429	13.81285579	26.02100089	10	Automotive	5.06	10588.18
704.8672366	11.82201583	31.29455229	9	Automotive	5.96	42352.91
712.0037657	14.29092025	22.83745098	10	Automotive	4.98	10588.27
642.7942395	43.38636364	42.78793103	8	Consumer Packaged Goods	1.48	20912.86
614.1596808	36.23542117	36.15732759	10	Consumer Packaged Goods	1.69	25326.63
544.1223117	29.78125	29.57586207	9	Consumer Packaged Goods	1.83	20912.86
684.6901213	51.10810811	51.10810811	9	Consumer Packaged Goods	1.34	20740.74
653.6662189	38.73376029	38.31312217	9	Consumer Packaged Goods	1.69	20571.43
562.7543994	29.9154013	29.29580457	9	Consumer Packaged Goods	1.88	20240.96
618.5744172	37.97706422	37.71753986	9	Consumer Packaged Goods	1.63	20826.45
844.5658774	77.27777778	81.82352941	6	Consumer Packaged Goods	1.09	35492.96
832.4049803	53.11149826	52.92708333	8	Consumer Packaged Goods	1.57	22400
580.571657	36.67424242	36.12686567	7	Consumer Packaged Goods	1.58	20487.8
821.6244541	56.40047962	56.13126492	7	Consumer Packaged Goods	1.46	21818.18
812.3220618	56.66724739	56.08103448	7	Consumer Packaged Goods	1.43	21818.18
678.817734	76.55555556	76.55555556	7	Consumer Packaged Goods	0.89	24585.37
864.1792346	60.44512195	60.44512195	6	Consumer Packaged Goods	1.43	21818.18
691.8278228	58.84489796	57.668	7	Consumer Packaged Goods	1.18	21913.04
713.1609481	69.95934959	92.52688172	7	Consumer Packaged Goods	1.02	857.95
1365.342	56.6993865	91.5049505	9	Consumer Packaged Goods	2.41	916.67
553.5766201	28.40959147	44.52839644	8	Consumer Packaged Goods	1.95	7857.14
782.2690384	26.71614845	54.17491525	9	Consumer Packaged Goods	2.93	7857.14
590.0438236	84.48039216	136.7777778	6	Consumer Packaged Goods	0.7	851.24
527.8543996	30.51888592	47.61309524	7	Consumer Packaged Goods	1.73	7857.14
789.9776572	23.21037824	103.2684284	8	Consumer Packaged Goods	3.4	10451.61
672.9769758	44.67480977	89.09984026	5	Consumer Packaged Goods	1.51	11117.07
